from_zone_id,to_zone_id,number_of_trips_demand_type1
2,0,103
2,1,58
2,3,30
2,4,38
2,5,44
2,7,133
2,8,58
2,9,57
2,11,35
2,13,105
2,15,34
2,16,46
2,17,61
2,18,61
2,19,88
2,21,44
2,22,43
2,25,76
2,27,256
2,28,34
2,29,47
2,30,56
2,31,148
2,34,179
2,36,145
2,37,42
2,38,49
2,40,6
2,41,171
2,42,67
2,43,63
2,44,55
2,45,8
2,46,10
2,47,172
2,48,150
2,50,60
2,51,239
2,53,37
2,55,51
2,56,43
2,57,51
2,58,157
2,59,97
2,61,69
2,62,20
2,63,54
2,64,74
2,65,15
2,66,96
2,68,71
2,69,13
2,71,56
2,72,138
2,73,35
2,74,134
2,75,64
2,76,38
2,77,36
2,78,32
2,79,8
2,80,118
2,81,32
2,84,19
2,85,69
2,87,57
2,89,121
2,90,221
2,91,57
2,92,222
2,93,18
2,94,34
2,96,58
2,97,50
2,98,58
2,99,25
2,100,217
2,101,26
2,102,9
2,103,9
2,104,56
2,105,76
2,107,44
2,108,35
2,109,171
2,110,30
2,112,34
2,113,8
2,114,35
2,115,95
2,117,181
2,118,59
2,119,41
4,0,54
4,1,35
4,2,84
4,3,19
4,5,12
4,7,73
4,8,20
4,9,21
4,11,11
4,13,54
4,15,15
4,16,20
4,17,26
4,18,26
4,19,63
4,21,5
4,22,6
4,25,51
4,27,127
4,28,18
4,29,79
4,30,111
4,31,70
4,34,126
4,36,75
4,37,13
4,38,9
4,40,30
4,41,50
4,42,36
4,43,26
4,44,16
4,45,25
4,46,26
4,47,21
4,48,42
4,50,25
4,51,96
4,53,14
4,55,11
4,56,6
4,57,11
4,58,51
4,59,41
4,61,58
4,62,24
4,63,74
4,64,96
4,65,28
4,66,17
4,68,94
4,69,19
4,71,15
4,72,22
4,73,5
4,74,17
4,75,32
4,76,1
4,77,2
4,78,19
4,79,34
4,80,50
4,81,10
4,84,51
4,85,42
4,87,52
4,89,110
4,90,62
4,91,17
4,92,147
4,93,24
4,94,15
4,96,20
4,97,10
4,98,20
4,99,101
4,100,53
4,101,130
4,102,34
4,103,34
4,104,15
4,105,56
4,107,6
4,108,7
4,109,51
4,110,133
4,112,7
4,113,25
4,114,18
4,115,20
4,117,137
4,118,22
4,119,4
6,0,39
6,1,8
6,2,44
6,3,14
6,4,7
6,5,4
6,7,13
6,8,1
6,9,1
6,11,6
6,13,39
6,15,12
6,16,5
6,17,2
6,18,3
6,19,17
6,21,7
6,22,8
6,25,12
6,27,19
6,28,13
6,29,46
6,30,63
6,31,51
6,34,33
6,36,12
6,37,5
6,38,7
6,40,15
6,41,9
6,42,26
6,43,14
6,44,3
6,45,15
6,46,15
6,47,29
6,48,8
6,50,2
6,51,6
6,53,6
6,55,5
6,56,8
6,57,5
6,58,5
6,59,36
6,61,18
6,62,15
6,63,45
6,64,59
6,65,16
6,66,14
6,68,58
6,69,12
6,71,4
6,72,21
6,73,9
6,74,34
6,75,5
6,76,7
6,77,8
6,78,14
6,79,17
6,80,4
6,81,11
6,84,30
6,85,9
6,87,17
6,89,35
6,90,11
6,91,3
6,92,35
6,93,15
6,94,12
6,96,2
6,97,5
6,98,1
6,99,49
6,100,19
6,101,63
6,102,17
6,103,17
6,104,4
6,105,15
6,107,8
6,108,10
6,109,8
6,110,65
6,112,10
6,113,15
6,114,13
6,115,28
6,117,38
6,118,1
6,119,8
7,0,54
7,1,4
7,2,50
7,3,18
7,4,13
7,5,9
7,8,7
7,9,7
7,11,10
7,13,54
7,15,17
7,16,6
7,17,5
7,18,5
7,19,10
7,21,13
7,22,13
7,25,6
7,27,8
7,28,18
7,29,56
7,30,75
7,31,72
7,34,20
7,36,5
7,37,9
7,38,13
7,40,17
7,41,28
7,42,36
7,43,20
7,44,9
7,45,17
7,46,18
7,47,52
7,48,25
7,50,5
7,51,21
7,53,9
7,55,11
7,56,13
7,57,11
7,58,21
7,59,50
7,61,13
7,62,19
7,63,56
7,64,74
7,65,19
7,66,26
7,68,73
7,69,15
7,71,11
7,72,39
7,73,14
7,74,53
7,75,3
7,76,13
7,77,13
7,78,18
7,79,18
7,80,9
7,81,15
7,84,35
7,85,3
7,87,13
7,89,27
7,90,36
7,91,10
7,92,16
7,93,19
7,94,17
7,96,8
7,97,11
7,98,8
7,99,53
7,100,44
7,101,70
7,102,18
7,103,18
7,104,11
7,105,10
7,107,13
7,108,15
7,109,27
7,110,71
7,112,14
7,113,17
7,114,18
7,115,42
7,117,26
7,118,7
7,119,13
8,0,38
8,1,9
8,2,44
8,3,13
8,4,7
8,5,4
8,7,14
8,9,1
8,11,6
8,13,38
8,15,12
8,16,5
8,17,3
8,18,3
8,19,17
8,21,7
8,22,7
8,25,13
8,27,21
8,28,13
8,29,46
8,30,62
8,31,50
8,34,34
8,36,13
8,37,5
8,38,6
8,40,15
8,41,7
8,42,26
8,43,14
8,44,2
8,45,14
8,46,15
8,47,27
8,48,7
8,50,3
8,51,8
8,53,6
8,55,5
8,56,7
8,57,5
8,58,5
8,59,36
8,61,18
8,62,15
8,63,44
8,64,58
8,65,16
8,66,13
8,68,57
8,69,12
8,71,4
8,72,20
8,73,9
8,74,33
8,75,6
8,76,7
8,77,8
8,78,13
8,79,17
8,80,6
8,81,10
8,84,29
8,85,10
8,87,17
8,89,36
8,90,9
8,91,3
8,92,37
8,93,15
8,94,12
8,96,1
8,97,5
8,98,1
8,99,49
8,100,16
8,101,63
8,102,17
8,103,17
8,104,4
8,105,16
8,107,7
8,108,9
8,109,6
8,110,65
8,112,9
8,113,14
8,114,13
