name,link_id,link_key,speed_sensor_id,count_sensor_id,from_node_id,to_node_id,link_type_name,direction,length,number_of_lanes,speed_limit,lane_cap,link_type,jam_density,wave_speed,demand_type_code,mode_code,network_design_flag,grade,geometry,original_geometry,map_matching_orientation_code,map_matching_loop_code,additional_lanes_on_left_side,length_of_left_side_lanes,additional_lanes_on_right_side,length_of_right_side_lanes
East Calle de Arcos,5685159,,,,41779203,41941572,,2,0.148327,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9176573,33.3340915,0.0 -111.9192537,33.334113,0.0</coordinates></LineString>",,,,,,,
East Calle de Arcos,5685159,,,,41779203,41744531,,2,0.098878,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9176573,33.3340915,0.0 -111.916593,33.3340843,0.0</coordinates></LineString>",,,,,,,
"['South Oak Street', 'East Ranch Road']","[5622099, 5608559]",,,,41779203,41672747,,2,0.236156,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9176573,33.3340915,0.0 -111.9176659,33.3337329,0.0 -111.9176744,33.333403,0.0 -111.9177259,33.3333098,0.0 -111.9180349,33.3331664,0.0 -111.9188589,33.33298,0.0 -111.9192451,33.3329513,0.0</coordinates></LineString>",,,,,,,
South Oak Street,5622101,,,,41779208,41779209,,2,0.061917,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9180435,33.3278453,0.0 -111.9181293,33.3283975,0.0</coordinates></LineString>",,,,,,,
East Knox Road,5669234,,,,41779208,41744471,,2,0.09090999999999999,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9180435,33.3278453,0.0 -111.917065,33.3278453,0.0</coordinates></LineString>",,,,,,,
East Knox Road,5669234,,,,41779208,41941613,,2,0.09178,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9180435,33.3278453,0.0 -111.918301,33.3278166,0.0 -111.9185757,33.3277377,0.0 -111.9189705,33.32758,0.0</coordinates></LineString>",,,,,,,
South Oak Street,5622101,,,,41779209,41779208,,2,0.061917,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9181293,33.3283975,0.0 -111.9180435,33.3278453,0.0</coordinates></LineString>",,,,,,,
"['South Maple Avenue', 'West Stacey Lane']","[5606000, 5591418]",,,,41533452,41652836,,2,0.217006,2,40.25,,,,,,,,,"<LineString><coordinates>-111.9370903,33.3247312,0.0 -111.9373392,33.3241718,0.0 -111.9373736,33.3240929,0.0 -111.9374594,33.324057,0.0 -111.9376482,33.324057,0.0 -111.9388842,33.3240427,0.0</coordinates></LineString>",,,,,,,
"['West Courtney Lane', 'South Drea Lane']","[5690144, 5684531]",,,,41533452,41652836,,2,0.25893400000000005,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9370903,33.3247312,0.0 -111.9381203,33.3248244,0.0 -111.9386181,33.3248674,0.0 -111.9387898,33.3248889,0.0 -111.9388928,33.3248459,0.0 -111.9389014,33.3246953,0.0 -111.9388928,33.3244443,0.0 -111.9388842,33.3240427,0.0</coordinates></LineString>",,,,,,,
West Courtney Lane,5684531,,,,41533452,41662509,,2,0.062120999999999996,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9370903,33.3247312,0.0 -111.9367813,33.3247096,0.0 -111.9364294,33.3246523,0.0</coordinates></LineString>",,,,,,,
"['West Palmcroft Drive', 'South Dromedary Drive', 'West Palmdale Drive']","[5631960, 5674071, 5616759]",,,,41730069,41914128,,2,0.314347,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9419841,33.406618,0.0 -111.942459,33.4066144,0.0 -111.9427004,33.4066413,0.0 -111.942797,33.4066491,0.0 -111.9428788,33.4066368,0.0 -111.9429083,33.4065853,0.0 -111.9428922,33.4065249,0.0 -111.942868,33.406404,0.0 -111.9428587,33.4062353,0.0 -111.9428667,33.4061173,0.0 -111.9428949,33.4059584,0.0 -111.9428895,33.4058789,0.0 -111.94286,33.4058307,0.0 -111.9427902,33.4058106,0.0 -111.9427138,33.4058184,0.0 -111.9424898,33.4058621,0.0 -111.9413687,33.4058677,0.0</coordinates></LineString>",,,,,,,
"['South Dateland Drive', 'West Palmdale Drive']","[5638001, 5616759]",,,,41730069,41914128,,2,0.14421300000000004,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9419841,33.406618,0.0 -111.9416905,33.4066223,0.0 -111.9415162,33.4066536,0.0 -111.9414344,33.4066614,0.0 -111.94137,33.4066335,0.0 -111.9413419,33.4065797,0.0 -111.9413398,33.4065036,0.0 -111.9413798,33.406312,0.0 -111.9413785,33.4062532,0.0 -111.9413687,33.4058677,0.0</coordinates></LineString>",,,,,,,
South Dateland Drive,5638000,,,,41730069,41875702,,2,0.086645,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9419841,33.406618,0.0 -111.9419811,33.4069995,0.0 -111.9419806,33.4070537,0.0 -111.9419779,33.4073972,0.0</coordinates></LineString>",,,,,,,
West Warner Road,28884176,,,,41533468,41914039,,2,0.157913,5,-1,,,,,,,,,"<LineString><coordinates>-111.9396516,33.3346409,0.0 -111.9413514,33.3346375,0.0</coordinates></LineString>",,,,,,,
West Warner Road,28884176,,,,41533468,41632096,,2,0.058985,5,-1,,,,,,,,,"<LineString><coordinates>-111.9396516,33.3346409,0.0 -111.9390168,33.3346303,0.0</coordinates></LineString>",,,,,,,
South Maple Avenue,5591423,,,,41533468,41533484,,2,0.18565,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9396516,33.3346409,0.0 -111.9396527,33.3351241,0.0 -111.939627,33.3355113,0.0 -111.9395497,33.335834,0.0 -111.9394381,33.3360778,0.0 -111.9393266,33.3362643,0.0</coordinates></LineString>",,,,,,,
South Maple Avenue,5591423,,,,41533484,41533490,,2,0.107277,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9393266,33.3362643,0.0 -111.9391635,33.3364938,0.0 -111.9388373,33.3368308,0.0 -111.9386313,33.3370316,0.0</coordinates></LineString>",,,,,,,
South Maple Avenue,5591423,,,,41533484,41533468,,2,0.18565,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9393266,33.3362643,0.0 -111.9394381,33.3360778,0.0 -111.9395497,33.335834,0.0 -111.939627,33.3355113,0.0 -111.9396527,33.3351241,0.0 -111.9396516,33.3346409,0.0</coordinates></LineString>",,,,,,,
West Calle Monte Vista Drive,5695116,,,,41533484,41662559,,2,0.11568799999999999,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9393266,33.3362643,0.0 -111.9390004,33.3361352,0.0 -111.9386657,33.3360707,0.0 -111.9381249,33.3360778,0.0</coordinates></LineString>",,,,,,,
South Maple Avenue,5591433,,,,41533490,41533555,,2,0.029403,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9386313,33.3370316,0.0 -111.938391,33.3368595,0.0</coordinates></LineString>",,,,,,,
South Maple Avenue,5591423,,,,41533490,41533500,,2,0.111333,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9386313,33.3370316,0.0 -111.9384854,33.3372539,0.0 -111.9383653,33.3374977,0.0 -111.9383138,33.3377558,0.0 -111.9383052,33.3379781,0.0</coordinates></LineString>",,,,,,,
South Maple Avenue,5591423,,,,41533490,41533484,,2,0.107277,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9386313,33.3370316,0.0 -111.9388373,33.3368308,0.0 -111.9391635,33.3364938,0.0 -111.9393266,33.3362643,0.0</coordinates></LineString>",,,,,,,
West Colt Road,5663918,,,,41533500,41584918,,2,0.077341,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9383052,33.3379781,0.0 -111.9391377,33.3379709,0.0</coordinates></LineString>",,,,,,,
South Maple Avenue,5591423,,,,41533500,41533501,,2,0.051834,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9383052,33.3379781,0.0 -111.9383078,33.3381216,0.0 -111.9383138,33.3384442,0.0</coordinates></LineString>",,,,,,,
South Maple Avenue,5591423,,,,41533500,41533490,,2,0.111333,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9383052,33.3379781,0.0 -111.9383138,33.3377558,0.0 -111.9383653,33.3374977,0.0 -111.9384854,33.3372539,0.0 -111.9386313,33.3370316,0.0</coordinates></LineString>",,,,,,,
East el Freda Road,5598092,,,,41533501,41588840,,2,0.077346,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9383138,33.3384442,0.0 -111.9374812,33.3384442,0.0</coordinates></LineString>",,,,,,,
South Maple Avenue,5591423,,,,41533501,41533500,,2,0.051834,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9383138,33.3384442,0.0 -111.9383078,33.3381216,0.0 -111.9383052,33.3379781,0.0</coordinates></LineString>",,,,,,,
"['West Calle de Caballos', 'South Ash Avenue']","[5594964, 5681221]",,,,41533501,41563590,,2,0.3979209999999999,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9383138,33.3384442,0.0 -111.9383653,33.3387597,0.0 -111.9384339,33.3389748,0.0 -111.9385283,33.3391397,0.0 -111.9387858,33.3394122,0.0 -111.939109,33.339619,0.0 -111.939421,33.3397421,0.0 -111.9397643,33.3398281,0.0 -111.9407513,33.339993,0.0 -111.9405892,33.3407194,0.0</coordinates></LineString>",,,,,,,
West Carter Drive,5663708,,,,41533524,41565855,,2,0.105086,-1,40.25,,,,,,,,,"<LineString><coordinates>-111.9405778,33.3832706,0.0 -111.939446,33.3832713,0.0</coordinates></LineString>",,,,,,,
South Maple Avenue,5591427,,,,41533524,41533528,,2,0.282454,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9405778,33.3832706,0.0 -111.9405744,33.3830588,0.0 -111.940567,33.3825934,0.0 -111.9405639,33.3823965,0.0 -111.9405589,33.3820775,0.0 -111.9405568,33.3819502,0.0 -111.9405543,33.3817903,0.0 -111.9405543,33.3814498,0.0 -111.9405727,33.3809584,0.0 -111.9406278,33.3807355,0.0</coordinates></LineString>",,,,,,,
