name,node_id,zone_id,micro_node_set,control_type,control_type_name,cycle_length_in_second,x,y,geometry
,41779203,,,,,,-111.9176573,33.3340915,"<Point><coordinates>-111.9176573,33.3340915</coordinates></Point>"
,41779208,,,,,,-111.9180435,33.3278453,"<Point><coordinates>-111.9180435,33.3278453</coordinates></Point>"
,41779209,,,,,,-111.9181293,33.3283975,"<Point><coordinates>-111.9181293,33.3283975</coordinates></Point>"
,41533452,,,,,,-111.9370903,33.3247312,"<Point><coordinates>-111.9370903,33.3247312</coordinates></Point>"
,41730069,,,,,,-111.9419841,33.406618,"<Point><coordinates>-111.9419841,33.406618</coordinates></Point>"
,41533468,,,,,,-111.9396516,33.3346409,"<Point><coordinates>-111.9396516,33.3346409</coordinates></Point>"
,41533484,,,,,,-111.9393266,33.3362643,"<Point><coordinates>-111.9393266,33.3362643</coordinates></Point>"
,41533490,,,,,,-111.9386313,33.3370316,"<Point><coordinates>-111.9386313,33.3370316</coordinates></Point>"
,41533500,,,,,,-111.9383052,33.3379781,"<Point><coordinates>-111.9383052,33.3379781</coordinates></Point>"
,41533501,,,,,,-111.9383138,33.3384442,"<Point><coordinates>-111.9383138,33.3384442</coordinates></Point>"
,41533524,,,,,,-111.9405778,33.3832706,"<Point><coordinates>-111.9405778,33.3832706</coordinates></Point>"
,2318614612,,,,,,-111.9530106,33.4219181,"<Point><coordinates>-111.9530106,33.4219181</coordinates></Point>"
,41533528,,,,,,-111.9406278,33.3807355,"<Point><coordinates>-111.9406278,33.3807355</coordinates></Point>"
,41533533,,,,,,-111.9412608,33.4219305,"<Point><coordinates>-111.9412608,33.4219305</coordinates></Point>"
,41533535,,,,,,-111.9412392,33.4204775,"<Point><coordinates>-111.9412392,33.4204775</coordinates></Point>"
,255819874,,,,,,-111.943057,33.4296693,"<Point><coordinates>-111.943057,33.4296693</coordinates></Point>"
,41533538,,,,,,-111.9412375,33.4190521,"<Point><coordinates>-111.9412375,33.4190521</coordinates></Point>"
,41533540,,,,,,-111.94123,33.4176195,"<Point><coordinates>-111.94123,33.4176195</coordinates></Point>"
,3730407527,,,,,,-111.8958182,33.3866492,"<Point><coordinates>-111.8958182,33.3866492</coordinates></Point>"
,41533544,,,,,,-111.9412063,33.4161883,"<Point><coordinates>-111.9412063,33.4161883</coordinates></Point>"
,41533545,,,,,,-111.9412082,33.4147432,"<Point><coordinates>-111.9412082,33.4147432</coordinates></Point>"
,41746538,,,,,,-111.8987373,33.4257009,"<Point><coordinates>-111.8987373,33.4257009</coordinates></Point>"
,41746539,,,,,,-111.8970292,33.4256938,"<Point><coordinates>-111.8970292,33.4256938</coordinates></Point>"
,41746542,,,,,,-111.8953229,33.425696,"<Point><coordinates>-111.8953229,33.425696</coordinates></Point>"
,41533550,,,,,,-111.9387421,33.33164,"<Point><coordinates>-111.9387421,33.33164</coordinates></Point>"
,41746544,,,,,,-111.8935719,33.425696,"<Point><coordinates>-111.8935719,33.425696</coordinates></Point>"
,41746546,,,,,,-111.8918897,33.4256674,"<Point><coordinates>-111.8918897,33.4256674</coordinates></Point>"
,41533555,,,,,,-111.938391,33.3368595,"<Point><coordinates>-111.938391,33.3368595</coordinates></Point>"
,41746551,,,,,,-111.890235,33.4257007,"<Point><coordinates>-111.890235,33.4257007</coordinates></Point>"
,41533561,,,,,,-111.9390262,33.3637033,"<Point><coordinates>-111.9390262,33.3637033</coordinates></Point>"
,41730173,,,,,,-111.9373125,33.3992353,"<Point><coordinates>-111.9373125,33.3992353</coordinates></Point>"
,41533571,,,,,,-111.9385127,33.3652275,"<Point><coordinates>-111.9385127,33.3652275</coordinates></Point>"
,41730183,,,,,,-111.9296308,33.3973721,"<Point><coordinates>-111.9296308,33.3973721</coordinates></Point>"
,42254473,,,,,,-111.9171232,33.4136285,"<Point><coordinates>-111.9171232,33.4136285</coordinates></Point>"
,41730187,,,,,,-111.9287897,33.3963761,"<Point><coordinates>-111.9287897,33.3963761</coordinates></Point>"
,42598539,,,,,,-111.8960702,33.3812403,"<Point><coordinates>-111.8960702,33.3812403</coordinates></Point>"
,41533580,,,,,,-111.9389855,33.3668305,"<Point><coordinates>-111.9389855,33.3668305</coordinates></Point>"
,41730192,,,,,,-111.8962446,33.399874,"<Point><coordinates>-111.8962446,33.399874</coordinates></Point>"
,41533587,,,,,,-111.9407739,33.4000976,"<Point><coordinates>-111.9407739,33.4000976</coordinates></Point>"
,42254483,,,,,,-111.9107726,33.4135536,"<Point><coordinates>-111.9107726,33.4135536</coordinates></Point>"
