access,bridge,geometry,highway,junction,key,lanes,length,maxspeed,name,oneway,osmid,ref,service,tunnel,u,v,width
,,"LINESTRING (116.3152286 39.9221813, 116.3195876 39.921974)",tertiary,,0,,372.439,,阜成路,True,121649279,,,,754515969,1361129142,
,,"LINESTRING (116.3152286 39.9221813, 116.3152381 39.9223147)",residential,,0,,14.856,,阜成路南二街,False,190449514,,,,754515969,324264747,
,,"LINESTRING (116.3152286 39.9221813, 116.3152723 39.920764, 116.3154886 39.9189534, 116.3154934 39.9189133)",residential,,0,,364.292,,阜成路南二街,False,190449514,,,,754515969,754515013,
,,"LINESTRING (116.3198298 39.9257488, 116.3198436 39.9267988)",primary,,0,,116.761,,首都体育馆南路,True,128009726,,,,754515971,321939059,
,,"LINESTRING (116.3198298 39.9257488, 116.3219382 39.9257682, 116.3221036 39.925416, 116.3236675 39.9254369)",unclassified,,0,,354.806,,,False,164957372,,,,754515971,754514704,
,,"LINESTRING (116.3225308 39.9096496, 116.3224315 39.9120878)",residential,,0,,271.248,,,False,60500704,,,,754515973,754516763,
,,"LINESTRING (116.3225308 39.9096496, 116.3227946 39.9096329)",tertiary,,0,,22.577,,玉渊潭南路,False,143599420,,,,754515973,27485058,
,,"LINESTRING (116.3225308 39.9096496, 116.3220216 39.9096584)",tertiary,,0,,43.442,,玉渊潭南路,False,143599420,,,,754515973,754517296,
,,"LINESTRING (116.3709039 39.990337, 116.3710477 39.9899503)",motorway,,0,3,44.71,,北京-拉萨高速公路,True,242787710,G6,,,249561097,249561104,
,,"LINESTRING (116.2960417 39.9120165, 116.2934269 39.9119907)",living_street,,0,,223.035,,,False,543944747,,,,5258149899,5258149900,
,,"LINESTRING (116.2960417 39.9120165, 116.2960412 39.9118679, 116.2960883 39.911738)",secondary,,0,,31.516000000000002,,翠微路,True,543944763,,,,5258149899,387156726,
,,"LINESTRING (116.2934269 39.9119907, 116.2960417 39.9120165)",living_street,,0,,223.035,,,False,543944747,,,,5258149900,5258149899,
,,"LINESTRING (116.2934269 39.9119907, 116.2934381 39.9120934)",living_street,,0,,11.46,,,False,543944753,,,,5258149900,5259217289,
,,"LINESTRING (116.2934269 39.9119907, 116.2934157 39.9118877, 116.2934105 39.9117106)",living_street,,0,,31.191000000000003,,,False,543944753,,,,5258149900,5258150944,
,,"LINESTRING (116.2117161 40.0720548, 116.2127736 40.0672204)",tertiary,,0,,545.041,,上庄路,True,174524133,,,,2284666891,1849465360,
,,"LINESTRING (116.2117161 40.0720548, 116.2117965 40.0720998)",residential,,0,,8.476,,永大路,False,219291899,,,,2284666891,2284666893,
,,"LINESTRING (116.2117965 40.0720998, 116.2117161 40.0720548)",residential,,0,,8.476,,永大路,False,219291899,,,,2284666893,2284666891,
,,"LINESTRING (116.2117965 40.0720998, 116.2116889 40.0725765, 116.2104345 40.0781392, 116.2103908 40.0783616, 116.2103655 40.078602, 116.2103604 40.0788133, 116.2103613 40.0788926)",tertiary,,0,,765.6220000000001,,上庄路,True,219289499,,,,2284666893,2284753874,
,,"LINESTRING (116.2117965 40.0720998, 116.214742 40.0737507, 116.2156183 40.0740917, 116.2167692 40.0746929, 116.2172434 40.0749211, 116.2184315 40.0752294, 116.218944 40.0753698, 116.219821 40.0757132, 116.2202978 40.0759024, 116.2212831 40.0761778)",residential,,0,,932.3889999999999,,永大路,False,219291899,,,,2284666893,2284666911,
,,"LINESTRING (116.3654348 39.992389, 116.3657809 39.9924757)",secondary_link,,0,,31.02,,,True,161355958,,,,1733378063,1190858770,
,yes,"LINESTRING (116.3654348 39.992389, 116.36601 39.9923991, 116.3666101 39.9924158, 116.3694004 39.9924935)",tertiary,,0,,338.032,,志新路,True,"[161355936, 161355955, 161355940]",,,,1733378063,1733378075,
,,"LINESTRING (116.2926784 39.9492653, 116.2927764 39.9506733, 116.2929499 39.9509881)",residential,,0,,194.785,,,False,164599640,,,,5718343696,5320294942,
,,"LINESTRING (116.2926784 39.9492653, 116.2926734 39.9491928, 116.2926819 39.9479426, 116.2927849 39.9464555)",residential,,0,,312.682,,,False,164599640,,,,5718343696,529351857,
,,"LINESTRING (116.2926784 39.9492653, 116.2934757 39.9492734, 116.2941382 39.9492826, 116.2941622 39.9491961, 116.2942079 39.9488851, 116.2942111 39.9485611, 116.2941718 39.9484176, 116.2941862 39.9479483, 116.2942698 39.9474886)",residential,,0,,325.229,,,False,601786044,,,,5718343696,529351864,
,yes,"LINESTRING (116.3710477 39.9899503, 116.3711485 39.9893455, 116.3711831 39.9890277, 116.3711619 39.9887549, 116.3711314 39.9886078, 116.3711035 39.9884832)",motorway_link,,0,,164.265,,,True,"[121399390, 121399414]",,,,249561104,1359330042,
,,"LINESTRING (116.3710477 39.9899503, 116.3711969 39.989469, 116.3720527 39.986559)",motorway,,0,3,386.697,,北京-拉萨高速公路,True,242787710,G6,,,249561104,701732960,
,yes,"LINESTRING (116.2676192 39.9687079, 116.2672986 39.9686982, 116.263437 39.9686122)",primary,,0,,356.565,,北坞村路,True,"[25671099, 165628820]",,,,279855121,289275947,
,,"LINESTRING (116.3694004 39.9924935, 116.3698564 39.9918928, 116.3699294 39.9917967, 116.370152 39.9914716, 116.3703999 39.9910438)",primary,,0,,182.50300000000001,,G6辅路,True,161453432,S216,,,1733378075,610910322,
,,"LINESTRING (116.3644916 39.9925521, 116.3629768 39.9924918)",secondary,,0,,129.219,,志新路,True,161355942,,,,1733378077,297113782,
,,"LINESTRING (116.2212831 40.0761778, 116.221465 40.0757951, 116.2221969 40.074315)",tertiary,,0,,221.249,,永澄北路,True,"[138597515, 138597859]",,,,2284666911,1519696635,
,,"LINESTRING (116.2212831 40.0761778, 116.2202978 40.0759024, 116.219821 40.0757132, 116.218944 40.0753698, 116.2184315 40.0752294, 116.2172434 40.0749211, 116.2167692 40.0746929, 116.2156183 40.0740917, 116.214742 40.0737507, 116.2117965 40.0720998)",residential,,0,,932.3889999999999,,永大路,False,219291899,,,,2284666911,2284666893,
,,"LINESTRING (116.2699917 39.9684423, 116.2698604 39.9685239, 116.2696793 39.9685968, 116.2694708 39.9686569, 116.2692535 39.9686968, 116.2689898 39.9687103, 116.2683292 39.9687196, 116.2676192 39.9687079)",trunk_link,,0,,209.211,,,True,155236064,,,,279855139,279855121,
,,"LINESTRING (116.2590208 39.9692449, 116.2588702 39.9694074, 116.2565492 39.9721249)",primary,,0,,383.312,,北坞村路,True,174799504,,,,289275942,1771676983,
,,"LINESTRING (116.2590208 39.9692449, 116.2588718 39.9695525, 116.2568564 39.971881, 116.2566425 39.9721281)",tertiary,,0,,380.158,,北坞村路,True,174799506,,,,289275942,1771676984,
,,"LINESTRING (116.3244629 39.907727, 116.3243861 39.9096129)",residential,,0,,209.805,,,False,60500563,,,,754516009,754517147,
,,"LINESTRING (116.3244629 39.907727, 116.3245807 39.9077719, 116.3256804 39.9077726, 116.3281325 39.9077482)",residential,,0,,314.18899999999996,,茂林居北侧路,True,285477361,,,,754516009,2891549447,
,,"LINESTRING (116.263437 39.9686122, 116.2633052 39.9686095, 116.2623748 39.9685903, 116.2618431 39.9685823, 116.2607464 39.9685659, 116.2604641 39.968578, 116.260157 39.9686199, 116.2598406 39.968702, 116.2595625 39.9688139, 116.2593317 39.9689688, 116.2590208 39.9692449)",primary,,0,,401.959,,北坞村路,True,174799504,,,,289275947,289275942,
,,"LINESTRING (116.3647829 39.9926425, 116.3629699 39.992607)",tertiary,,0,,154.499,,志新路,True,161355941,,,,1733378094,1360087358,
,,"LINESTRING (116.3647829 39.9926425, 116.3644916 39.9925521)",secondary_link,,0,,26.774,,,True,161355953,,,,1733378094,1733378077,
,,"LINESTRING (116.3655015 39.9926566, 116.3647829 39.9926425)",tertiary,,0,,61.237,,志新路,True,161355941,,,,1733378099,1733378094,
,,"LINESTRING (116.2632678 39.96853, 116.2640923 39.9684441, 116.2650975 39.9684609, 116.2674418 39.9685001)",tertiary,,0,,356.42100000000005,,北坞村路,True,26404009,,,,289275958,289276148,
,yes,"LINESTRING (116.2632678 39.96853, 116.2672941 39.9686013, 116.2676222 39.9686052)",primary,,0,,371.175,,北坞村路,True,"[174799505, 165628702]",,,,289275958,289275959,
