highway,osmid,ref,x,y,geometry
traffic_signals,754515969,,116.3152286,39.9221813,POINT (116.3152286 39.9221813)
,754515971,,116.3198298,39.9257488,POINT (116.3198298 39.9257488)
,754515973,,116.3225308,39.9096496,POINT (116.3225308 39.9096496)
,249561097,,116.3709039,39.990337,POINT (116.3709039 39.990337)
,5258149899,,116.2960417,39.9120165,POINT (116.2960417 39.9120165)
,5258149900,,116.2934269,39.9119907,POINT (116.2934269 39.9119907)
,2284666891,,116.2117161,40.0720548,POINT (116.2117161 40.0720548)
,2284666893,,116.2117965,40.0720998,POINT (116.2117965 40.0720998)
,1733378063,,116.3654348,39.992389,POINT (116.3654348 39.992389)
,5718343696,,116.2926784,39.9492653,POINT (116.2926784 39.9492653)
motorway_junction,249561104,2,116.3710477,39.9899503,POINT (116.3710477 39.9899503)
,279855121,,116.2676192,39.9687079,POINT (116.2676192 39.9687079)
,1733378075,,116.3694004,39.9924935,POINT (116.3694004 39.9924935)
,1733378077,,116.3644916,39.9925521,POINT (116.3644916 39.9925521)
,2284666911,,116.2212831,40.0761778,POINT (116.2212831 40.0761778)
,279855139,,116.2699917,39.9684423,POINT (116.2699917 39.9684423)
,289275942,,116.2590208,39.9692449,POINT (116.2590208 39.9692449)
,754516009,,116.3244629,39.907727,POINT (116.3244629 39.907727)
,289275947,,116.263437,39.9686122,POINT (116.263437 39.9686122)
,1733378094,,116.3647829,39.9926425,POINT (116.3647829 39.9926425)
,1733378099,,116.3655015,39.9926566,POINT (116.3655015 39.9926566)
,289275958,,116.2632678,39.96853,POINT (116.2632678 39.96853)
,289275959,,116.2676222,39.9686052,POINT (116.2676222 39.9686052)
,289275967,,116.2685817,39.9667395,POINT (116.2685817 39.9667395)
,754516033,,116.3220004,39.9105762,POINT (116.3220004 39.9105762)
,1960558665,,116.0913762,40.0828696,POINT (116.0913762 40.0828696)
,4017832019,,116.3531565,39.9602536,POINT (116.3531565 39.9602536)
traffic_signals,321421405,,116.2694237,39.9455437,POINT (116.2694237 39.9455437)
traffic_signals,321421407,,116.2755957,39.9453379,POINT (116.2755957 39.9453379)
,321421409,,116.2800471,39.9453369,POINT (116.2800471 39.9453369)
,2494906467,,116.3245362,40.0204162,POINT (116.3245362 40.0204162)
,754516069,,116.3283373,39.8973045,POINT (116.3283373 39.8973045)
crossing,610910309,,116.3559545,40.0083254,POINT (116.3559545 40.0083254)
,321421415,,116.2687643,39.9423437,POINT (116.2687643 39.9423437)
,2264612966,,116.2463497,40.0038172,POINT (116.2463497 40.0038172)
,321421417,,116.2694523,39.9462167,POINT (116.2694523 39.9462167)
,321421418,,116.269518,39.9487114,POINT (116.269518 39.9487114)
,321421419,,116.2701047,39.9527899,POINT (116.2701047 39.9527899)
,2264612967,,116.2480051,40.0039512,POINT (116.2480051 40.0039512)
traffic_signals,279855208,,116.2563761,39.9722146,POINT (116.2563761 39.9722146)
,2494906473,,116.3189619,40.0190244,POINT (116.3189619 40.0190244)
,1733378152,,116.369174,39.9927916,POINT (116.369174 39.9927916)
,2458140781,,116.2959165,39.9140422,POINT (116.2959165 39.9140422)
,2458140782,,116.2960092,39.9140605,POINT (116.2960092 39.9140605)
traffic_signals,2264612974,,116.257064,40.0047809,POINT (116.257064 40.0047809)
,2264612973,,116.2481045,40.0047339,POINT (116.2481045 40.0047339)
,610910322,,116.3703999,39.9910438,POINT (116.3703999 39.9910438)
,2264612979,,116.2454447,40.0061984,POINT (116.2454447 40.0061984)
,2264612980,,116.2570434,40.0068697,POINT (116.2570434 40.0068697)
,2494906488,,116.3233014,40.017012,POINT (116.3233014 40.017012)
,2494906493,,116.3153589,40.0177441,POINT (116.3153589 40.0177441)
traffic_signals,2458140798,,116.2898969,39.917294,POINT (116.2898969 39.917294)
,5391715945,,116.0991486,40.0888571,POINT (116.0991486 40.0888571)
,5391715948,,116.0992279,40.0887566,POINT (116.0992279 40.0887566)
,1875160023,,116.2521058,40.0488754,POINT (116.2521058 40.0488754)
traffic_signals,2264711314,,116.2014413,39.9718049,POINT (116.2014413 39.9718049)
traffic_signals,2264711316,,116.2015647,39.971805,POINT (116.2015647 39.971805)
,2494906517,,116.319017,40.0183902,POINT (116.319017 40.0183902)
,2494906516,,116.3214526,40.0187621,POINT (116.3214526 40.0187621)
,2264711319,,116.2052685,39.97181,POINT (116.2052685 39.97181)
,4895408280,,116.3411601,39.9686612,POINT (116.3411601 39.9686612)
,1960558740,,116.0918653,40.0819122,POINT (116.0918653 40.0819122)
traffic_signals,2264711321,,116.2121061,39.9718192,POINT (116.2121061 39.9718192)
,5391715950,,116.0992997,40.0886657,POINT (116.0992997 40.0886657)
,754516127,,116.3212907,39.8991069,POINT (116.3212907 39.8991069)
,5391715951,,116.1003012,40.0887743,POINT (116.1003012 40.0887743)
,2264711328,,116.221697,39.9718321,POINT (116.221697 39.9718321)
traffic_signals,2264711330,,116.2232485,39.9718383,POINT (116.2232485 39.9718383)
traffic_signals,2264711331,,116.2303755,39.9718438,POINT (116.2303755 39.9718438)
,5391715952,,116.0994083,40.0885281,POINT (116.0994083 40.0885281)
traffic_signals,2264711338,,116.2014325,39.971879,POINT (116.2014325 39.971879)
,1738096813,,116.0952225,40.0631293,POINT (116.0952225 40.0631293)
traffic_signals,2264711342,,116.2015561,39.9718792,POINT (116.2015561 39.9718792)
,2264711346,,116.2026974,39.9718806,POINT (116.2026974 39.9718806)
,5596151989,,116.2522701,40.0999507,POINT (116.2522701 40.0999507)
traffic_signals,2264711349,,116.2121198,39.9718921,POINT (116.2121198 39.9718921)
,5596151993,,116.2527676,40.100179,POINT (116.2527676 40.100179)
,2264711353,,116.2184974,39.9719,POINT (116.2184974 39.9719)
traffic_signals,2264711356,,116.2232488,39.9719099,POINT (116.2232488 39.9719099)
traffic_signals,2264711358,,116.2308659,39.9719152,POINT (116.2308659 39.9719152)
traffic_signals,2264711364,,116.2333534,39.971918,POINT (116.2333534 39.971918)
traffic_signals,2264711366,,116.2334601,39.9719182,POINT (116.2334601 39.9719182)
,2282799313,,116.2182757,39.9945653,POINT (116.2182757 39.9945653)
,2409382099,,116.358741,40.0646436,POINT (116.358741 40.0646436)
,1808613588,,116.2551695,39.9397561,POINT (116.2551695 39.9397561)
,2282799319,,116.2195625,39.9952094,POINT (116.2195625 39.9952094)
,1808613593,,116.2570666,39.9424947,POINT (116.2570666 39.9424947)
,1808613594,,116.2595697,39.9383207,POINT (116.2595697 39.9383207)
,2282799321,,116.2209469,39.9954486,POINT (116.2209469 39.9954486)
traffic_signals,1808613599,,116.2510189,39.9455913,POINT (116.2510189 39.9455913)
,1808613600,,116.2583755,39.9424823,POINT (116.2583755 39.9424823)
,380731617,,116.2980849,39.9839167,POINT (116.2980849 39.9839167)
,298582242,,116.2848833,40.0413797,POINT (116.2848833 40.0413797)
,1808613601,,116.2550246,39.9408995,POINT (116.2550246 39.9408995)
,2047656163,,116.2812014,39.9752746,POINT (116.2812014 39.9752746)
,2047656164,,116.281837,39.9760324,POINT (116.281837 39.9760324)
,1808613605,,116.2595791,39.9377655,POINT (116.2595791 39.9377655)
,2047656165,,116.2816547,39.9761472,POINT (116.2816547 39.9761472)
,1808613606,,116.2542416,39.9425574,POINT (116.2542416 39.9425574)
,2282799332,,116.2177265,39.9962526,POINT (116.2177265 39.9962526)
,2282799334,,116.2205476,39.9971883,POINT (116.2205476 39.9971883)
,1808613610,,116.2569121,39.9389177,POINT (116.2569121 39.9389177)
,1808613611,,116.2585898,39.9379003,POINT (116.2585898 39.9379003)
,2282799336,,116.2188885,39.9972537,POINT (116.2188885 39.9972537)
,1928872171,,116.3280436,40.0365345,POINT (116.3280436 40.0365345)
,1808613614,,116.2595765,39.9385469,POINT (116.2595765 39.9385469)
,1808613616,,116.2541966,39.942433,POINT (116.2541966 39.942433)
,2264629490,,116.2335929,39.9917697,POINT (116.2335929 39.9917697)
,1808613618,,116.2619608,39.9377162,POINT (116.2619608 39.9377162)
,289276148,,116.2674418,39.9685001,POINT (116.2674418 39.9685001)
traffic_signals,528875765,,116.373182,39.9753251,POINT (116.373182 39.9753251)
,1928872179,,116.3287615,40.0370706,POINT (116.3287615 40.0370706)
,1808613622,,116.257308,39.9408783,POINT (116.257308 39.9408783)
,4895408377,,116.3422178,39.9686698,POINT (116.3422178 39.9686698)
,2377138431,,116.3147745,39.9566623,POINT (116.3147745 39.9566623)
,1808613632,,116.2571417,39.9408783,POINT (116.2571417 39.9408783)
traffic_signals,289276161,,116.2682909,39.9652018,POINT (116.2682909 39.9652018)
,289276162,,116.2684777,39.9639203,POINT (116.2684777 39.9639203)
traffic_signals,289276163,,116.2685021,39.9636825,POINT (116.2685021 39.9636825)
,289276164,,116.2634165,39.9635762,POINT (116.2634165 39.9635762)
,289276165,,116.2677478,39.9636896,POINT (116.2677478 39.9636896)
,2377138434,,116.3134493,39.9569285,POINT (116.3134493 39.9569285)
,2377138436,,116.3137552,39.9566903,POINT (116.3137552 39.9566903)
,2264711428,,116.230032,39.9792816,POINT (116.230032 39.9792816)
,2264711429,,116.2301218,39.979324,POINT (116.2301218 39.979324)
,898597134,,116.2034222,39.9551139,POINT (116.2034222 39.9551139)
,2264629518,,116.2196492,39.9950209,POINT (116.2196492 39.9950209)
,289276178,,116.2691423,39.9651848,POINT (116.2691423 39.9651848)
,2264629522,,116.2303731,39.9963796,POINT (116.2303731 39.9963796)
traffic_signals,289276181,,116.2708025,39.9651102,POINT (116.2708025 39.9651102)
traffic_signals,289276182,,116.2708129,39.9651841,POINT (116.2708129 39.9651841)
,289276184,,116.2704808,39.9681676,POINT (116.2704808 39.9681676)
,289276185,,116.2703097,39.9684676,POINT (116.2703097 39.9684676)
,289276186,,116.2693167,39.9694203,POINT (116.2693167 39.9694203)
,2264629539,,116.2290496,39.9977279,POINT (116.2290496 39.9977279)
,2264629543,,116.2321546,39.9984261,POINT (116.2321546 39.9984261)
traffic_signals,1676493104,,116.2676901,39.8989631,POINT (116.2676901 39.8989631)
traffic_signals,1673265463,,116.277435,39.8959919,POINT (116.277435 39.8959919)
traffic_signals,1673265464,,116.2890602,39.8959538,POINT (116.2890602 39.8959538)
,2264711486,,116.2163861,39.990556,POINT (116.2163861 39.990556)
,1674576206,,116.0992755,40.0637777,POINT (116.0992755 40.0637777)
,5067718996,,116.2862383,40.0268401,POINT (116.2862383 40.0268401)
,124174677,,116.322901,39.9059991,POINT (116.322901 39.9059991)
,1673265494,,116.2774469,39.8989603,POINT (116.2774469 39.8989603)
,1673265497,,116.2891023,39.9011887,POINT (116.2891023 39.9011887)
,237535582,,116.3556263,39.9661353,POINT (116.3556263 39.9661353)
